C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 1 Score 0 Record 0
Game 2 Score 0 Record 0
Game 3 Score 0 Record 0
Game 4 Score 0 Record 0
Game 5 Score 2 Record 2
Game 6 Score 0 Record 2
Game 7 Score 0 Record 2
Game 8 Score 1 Record 2
Game 9 Score 0 Record 2
Game 10 Score 0 Record 2
Game 11 Score 0 Record 2
Game 12 Score 0 Record 2
Game 13 Score 0 Record 2
Game 14 Score 1 Record 2
Game 15 Score 0 Record 2
Game 16 Score 0 Record 2
Game 17 Score 0 Record 2
Game 18 Score 0 Record 2
Game 19 Score 0 Record 2
Game 20 Score 1 Record 2
Game 21 Score 0 Record 2
Game 22 Score 1 Record 2
Game 23 Score 0 Record 2
Game 24 Score 1 Record 2
Game 25 Score 2 Record 2
Game 26 Score 1 Record 2
Game 27 Score 0 Record 2
Game 28 Score 0 Record 2
Game 29 Score 0 Record 2
Game 30 Score 1 Record 2
Game 31 Score 0 Record 2
Game 32 Score 1 Record 2
Game 33 Score 0 Record 2
Game 34 Score 0 Record 2
Game 35 Score 1 Record 2
Game 36 Score 1 Record 2
Game 37 Score 4 Record 4
Game 38 Score 1 Record 4
Game 39 Score 1 Record 4
Game 40 Score 2 Record 4
Game 41 Score 2 Record 4
Game 42 Score 1 Record 4
Game 43 Score 0 Record 4
Game 44 Score 1 Record 4
Game 45 Score 0 Record 4
Game 46 Score 1 Record 4
Game 47 Score 0 Record 4
Game 48 Score 1 Record 4
Game 49 Score 0 Record 4
Game 50 Score 2 Record 4
Game 51 Score 0 Record 4
Game 52 Score 0 Record 4
Game 53 Score 1 Record 4
Game 54 Score 1 Record 4
Game 55 Score 1 Record 4
Game 56 Score 0 Record 4
Game 57 Score 2 Record 4
Game 58 Score 3 Record 4
Game 59 Score 0 Record 4
Game 60 Score 1 Record 4
Game 61 Score 3 Record 4
Game 62 Score 0 Record 4
Game 63 Score 3 Record 4
Game 64 Score 2 Record 4
Game 65 Score 3 Record 4
Game 66 Score 4 Record 4
Game 67 Score 5 Record 5
Game 68 Score 1 Record 5
Game 69 Score 2 Record 5
Game 70 Score 11 Record 11
Game 71 Score 5 Record 11
Game 72 Score 0 Record 11
Game 73 Score 18 Record 18
Game 74 Score 0 Record 18
Game 75 Score 4 Record 18
Game 76 Score 5 Record 18
Game 77 Score 2 Record 18
Game 78 Score 24 Record 24
Game 79 Score 5 Record 24
Game 80 Score 9 Record 24
Game 81 Score 6 Record 24
Game 82 Score 19 Record 24
Game 83 Score 1 Record 24
Game 84 Score 17 Record 24
Game 85 Score 9 Record 24
Game 86 Score 8 Record 24
Game 87 Score 2 Record 24
Game 88 Score 18 Record 24
Game 89 Score 1 Record 24
Game 90 Score 0 Record 24
Game 91 Score 6 Record 24
Game 92 Score 3 Record 24
Game 93 Score 0 Record 24
Game 94 Score 14 Record 24
Game 95 Score 2 Record 24
Game 96 Score 1 Record 24
Game 97 Score 0 Record 24
Game 98 Score 0 Record 24
Game 99 Score 9 Record 24
Game 100 Score 0 Record 24
Game 101 Score 4 Record 24
Game 102 Score 20 Record 24
Game 103 Score 27 Record 27
Game 104 Score 32 Record 32
Game 105 Score 23 Record 32
Game 106 Score 16 Record 32
Game 107 Score 19 Record 32
Game 108 Score 39 Record 39
Game 109 Score 39 Record 39
Game 110 Score 21 Record 39
Game 111 Score 39 Record 39
Game 112 Score 12 Record 39
Game 113 Score 31 Record 39
Game 114 Score 35 Record 39
Game 115 Score 25 Record 39
Game 116 Score 17 Record 39
Game 117 Score 34 Record 39
Game 118 Score 35 Record 39
Game 119 Score 18 Record 39
Game 120 Score 14 Record 39
Game 121 Score 46 Record 46
Game 122 Score 19 Record 46
Game 123 Score 31 Record 46
Game 124 Score 23 Record 46
Game 125 Score 30 Record 46
Game 126 Score 50 Record 50
Game 127 Score 43 Record 50
Game 128 Score 15 Record 50
Game 129 Score 27 Record 50
Game 130 Score 19 Record 50
Game 131 Score 34 Record 50
Game 132 Score 33 Record 50
Game 133 Score 24 Record 50
Game 134 Score 35 Record 50
Game 135 Score 41 Record 50
Game 136 Score 33 Record 50
Game 137 Score 29 Record 50
Game 138 Score 15 Record 50
Game 139 Score 43 Record 50
Game 140 Score 22 Record 50
Game 141 Score 17 Record 50
Game 142 Score 47 Record 50
Game 143 Score 20 Record 50
Game 144 Score 57 Record 57
Game 145 Score 29 Record 57
Game 146 Score 9 Record 57
Game 147 Score 15 Record 57
Game 148 Score 20 Record 57
Game 149 Score 44 Record 57
Game 150 Score 38 Record 57
Game 151 Score 48 Record 57
Game 152 Score 27 Record 57
Game 153 Score 31 Record 57
Game 154 Score 69 Record 69
Game 155 Score 33 Record 69
Game 156 Score 28 Record 69
Game 157 Score 36 Record 69
Game 158 Score 33 Record 69
Game 159 Score 47 Record 69
Game 160 Score 59 Record 69
Game 161 Score 24 Record 69
Game 162 Score 11 Record 69
Game 163 Score 71 Record 71
Game 164 Score 24 Record 71
Game 165 Score 37 Record 71
Game 166 Score 26 Record 71
Game 167 Score 36 Record 71
Game 168 Score 31 Record 71
Game 169 Score 27 Record 71
Game 170 Score 36 Record 71
Game 171 Score 27 Record 71
Game 172 Score 25 Record 71
Game 173 Score 41 Record 71
Game 174 Score 31 Record 71
Game 175 Score 19 Record 71
Game 176 Score 32 Record 71
Game 177 Score 31 Record 71
Game 178 Score 25 Record 71
Game 179 Score 14 Record 71
Game 180 Score 31 Record 71
Game 181 Score 18 Record 71
Game 182 Score 49 Record 71
Game 183 Score 41 Record 71
Game 184 Score 29 Record 71
Game 185 Score 12 Record 71
Game 186 Score 36 Record 71
Game 187 Score 42 Record 71
Game 188 Score 11 Record 71
Game 189 Score 20 Record 71
Game 190 Score 39 Record 71
Game 191 Score 33 Record 71
Game 192 Score 36 Record 71
Game 193 Score 47 Record 71
Game 194 Score 21 Record 71
Game 195 Score 43 Record 71
Game 196 Score 54 Record 71
Game 197 Score 21 Record 71
Game 198 Score 24 Record 71
Game 199 Score 20 Record 71
Game 200 Score 37 Record 71
Game 201 Score 30 Record 71
Game 202 Score 13 Record 71
Game 203 Score 21 Record 71
Game 204 Score 30 Record 71
Game 205 Score 18 Record 71
Game 206 Score 27 Record 71
Game 207 Score 59 Record 71
Game 208 Score 28 Record 71
Game 209 Score 30 Record 71
Game 210 Score 23 Record 71
Game 211 Score 5 Record 71
Game 212 Score 43 Record 71
Game 213 Score 37 Record 71
Game 214 Score 22 Record 71
Game 215 Score 15 Record 71
Game 216 Score 37 Record 71
Game 217 Score 41 Record 71
Game 218 Score 49 Record 71
Game 219 Score 27 Record 71
Game 220 Score 23 Record 71
Game 221 Score 38 Record 71
Game 222 Score 31 Record 71
Game 223 Score 40 Record 71
Game 224 Score 20 Record 71
Game 225 Score 17 Record 71
Game 226 Score 34 Record 71
Game 227 Score 52 Record 71
Game 228 Score 39 Record 71
Game 229 Score 26 Record 71
Game 230 Score 57 Record 71
Game 231 Score 27 Record 71
Game 232 Score 36 Record 71
Game 233 Score 46 Record 71
Game 234 Score 35 Record 71
Game 235 Score 50 Record 71
Game 236 Score 11 Record 71
Game 237 Score 33 Record 71
Game 238 Score 57 Record 71
Game 239 Score 33 Record 71
Game 240 Score 42 Record 71
Game 241 Score 29 Record 71
Game 242 Score 59 Record 71
Game 243 Score 26 Record 71
Game 244 Score 34 Record 71
Game 245 Score 37 Record 71
Game 246 Score 49 Record 71
Game 247 Score 21 Record 71
Game 248 Score 56 Record 71
Game 249 Score 19 Record 71
Game 250 Score 29 Record 71
Game 251 Score 17 Record 71
Game 252 Score 28 Record 71
Game 253 Score 35 Record 71
Game 254 Score 32 Record 71
Game 255 Score 23 Record 71
Game 256 Score 25 Record 71
Game 257 Score 19 Record 71
Game 258 Score 28 Record 71
Game 259 Score 28 Record 71
Game 260 Score 25 Record 71
Game 261 Score 32 Record 71
Game 262 Score 36 Record 71
Game 263 Score 24 Record 71
Game 264 Score 16 Record 71
Game 265 Score 17 Record 71
Game 266 Score 36 Record 71
Game 267 Score 41 Record 71
Game 268 Score 47 Record 71
Game 269 Score 22 Record 71
Game 270 Score 23 Record 71
Game 271 Score 34 Record 71
Game 272 Score 24 Record 71
Game 273 Score 8 Record 71
Game 274 Score 40 Record 71
Game 275 Score 41 Record 71
Game 276 Score 29 Record 71
Game 277 Score 33 Record 71
Game 278 Score 41 Record 71
Game 279 Score 19 Record 71
Game 280 Score 31 Record 71
Game 281 Score 36 Record 71
Game 282 Score 46 Record 71
Game 283 Score 34 Record 71
Game 284 Score 41 Record 71
Game 285 Score 29 Record 71
Game 286 Score 39 Record 71
Game 287 Score 39 Record 71
Game 288 Score 29 Record 71
Game 289 Score 32 Record 71
Game 290 Score 42 Record 71
Game 291 Score 17 Record 71
Game 292 Score 26 Record 71
Game 293 Score 34 Record 71
Game 294 Score 12 Record 71
Game 295 Score 28 Record 71
Game 296 Score 19 Record 71
Game 297 Score 42 Record 71
Game 298 Score 35 Record 71
Game 299 Score 24 Record 71
Game 300 Score 47 Record 71
Game 301 Score 20 Record 71
Game 302 Score 24 Record 71
Game 303 Score 27 Record 71
Game 304 Score 29 Record 71
Game 305 Score 53 Record 71
Game 306 Score 37 Record 71
Game 307 Score 15 Record 71
Game 308 Score 24 Record 71
Game 309 Score 38 Record 71
Game 310 Score 18 Record 71
Game 311 Score 56 Record 71
Game 312 Score 18 Record 71
Game 313 Score 13 Record 71
Game 314 Score 36 Record 71
Game 315 Score 38 Record 71
Game 316 Score 31 Record 71
Game 317 Score 19 Record 71
Game 318 Score 42 Record 71
Game 319 Score 45 Record 71
Game 320 Score 24 Record 71
Game 321 Score 5 Record 71
Game 322 Score 27 Record 71
Game 323 Score 29 Record 71
Game 324 Score 22 Record 71
Game 325 Score 38 Record 71
Game 326 Score 33 Record 71
Game 327 Score 35 Record 71
Game 328 Score 14 Record 71
Game 329 Score 57 Record 71
Game 330 Score 45 Record 71
Game 331 Score 33 Record 71
Game 332 Score 47 Record 71
Game 333 Score 37 Record 71
Game 334 Score 44 Record 71
Game 335 Score 18 Record 71
Game 336 Score 27 Record 71
Game 337 Score 60 Record 71
Game 338 Score 37 Record 71
Game 339 Score 31 Record 71
Game 340 Score 26 Record 71
Game 341 Score 28 Record 71
Game 342 Score 27 Record 71
Game 343 Score 63 Record 71
Game 344 Score 23 Record 71
Game 345 Score 22 Record 71
Game 346 Score 35 Record 71
Game 347 Score 36 Record 71
Game 348 Score 25 Record 71
Game 349 Score 47 Record 71
Game 350 Score 24 Record 71
Game 351 Score 42 Record 71
Game 352 Score 28 Record 71
Game 353 Score 25 Record 71
Game 354 Score 40 Record 71
Game 355 Score 21 Record 71
Game 356 Score 39 Record 71
Game 357 Score 31 Record 71
Game 358 Score 28 Record 71
Game 359 Score 42 Record 71
Game 360 Score 21 Record 71
Game 361 Score 28 Record 71
Game 362 Score 7 Record 71
Game 363 Score 33 Record 71
Game 364 Score 17 Record 71
Game 365 Score 34 Record 71
Game 366 Score 57 Record 71
Game 367 Score 29 Record 71
Game 368 Score 31 Record 71
Game 369 Score 23 Record 71
Game 370 Score 27 Record 71
Game 371 Score 31 Record 71
Game 372 Score 27 Record 71
Game 373 Score 29 Record 71
Game 374 Score 34 Record 71
Game 375 Score 41 Record 71
